# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-8621
# Selected columns: 7 (all)
# Timestamp: Tue, 29-Apr-2025 09:45:43
Gene ID	Gene Name	14 minute	20 minute	92 minute	102 minute	132 minute	142 minute	162 minute
YDR247W	VHS1	13.0	14.0	16.0	13.0	11.0	13.0	12.0
YDR248C	YDR248C	73.0	75.0	59.0	58.0	69.0	58.0	72.0
YDR249C	YDR249C	22.0	21.0	17.0	18.0	19.0	15.0	18.0
YDR250C	YDR250C	12.0	14.0	10.0	13.0	14.0	14.0	14.0
YDR251W	PAM1	57.0	50.0	53.0	53.0	62.0	59.0	59.0
YDR252W	BTT1	34.0	45.0	46.0	42.0	37.0	34.0	28.0
YDR253C	MET32	123.0	151.0	120.0	89.0	135.0	117.0	133.0
YDR254W	CHL4	33.0	38.0	48.0	44.0	45.0	38.0	33.0
YDR255C	RMD5	55.0	54.0	39.0	40.0	49.0	41.0	37.0
YDR256C	CTA1	1959.0	2194.0	374.0	381.0	284.0	241.0	184.0
YDR257C	RKM4	65.0	71.0	37.0	41.0	42.0	41.0	40.0
YDR258C	HSP78	116.0	108.0	253.0	285.0	372.0	379.0	316.0
YDR259C	YAP6	28.0	29.0	58.0	54.0	48.0	44.0	31.0
YDR260C	SWM1	89.0	111.0	86.0	88.0	102.0	114.0	106.0
YDR261C-D	YDR261C-D	3.0	4.0	2.0	2.0	2.0	3.0	2.0
YDR261C	EXG2	38.0	34.0	55.0	47.0	37.0	35.0	29.0
YDR261W-B	YDR261W-B	4.0	3.0	0.8	1.0	1.0	1.0	1.0
YDR262W	YDR262W	337.0	357.0	225.0	236.0	242.0	241.0	199.0
YDR263C	DIN7	7.0	11.0	17.0	14.0	10.0	9.0	10.0
YDR264C	AKR1	97.0	100.0	87.0	84.0	81.0	82.0	78.0
YDR265W	PEX10	82.0	73.0	51.0	48.0	53.0	53.0	51.0
YDR266C	HEL2	35.0	31.0	41.0	44.0	42.0	39.0	43.0
YDR267C	CIA1	74.0	77.0	74.0	75.0	66.0	57.0	48.0
YDR268W	MSW1	33.0	32.0	30.0	30.0	39.0	37.0	34.0
YDR269C	YDR269C							1.0
YDR270W	CCC2	26.0	24.0	20.0	23.0	28.0	28.0	26.0
YDR272W	GLO2	224.0	240.0	182.0	185.0	209.0	196.0	194.0
YDR273W	DON1	55.0	58.0	43.0	39.0	36.0	40.0	29.0
YDR274C	YDR274C	24.0	15.0	16.0	20.0	19.0	21.0	20.0
YDR275W	BSC2	234.0	187.0	207.0	223.0	260.0	265.0	194.0
YDR276C	PMP3	2346.0	2335.0	4050.0	4436.0	4854.0	4677.0	4051.0
YDR277C	MTH1	62.0	69.0	86.0	87.0	108.0	113.0	81.0
YDR278C	YDR278C	2.0	2.0	2.0		2.0	1.0	1.0
YDR279W	RNH202	77.0	74.0	42.0	36.0	39.0	39.0	44.0
YDR280W	RRP45	57.0	59.0	62.0	64.0	56.0	56.0	64.0
YDR281C	PHM6	11.0	8.0	21.0	18.0	18.0	23.0	28.0
YDR282C	MRX10	39.0	38.0	37.0	37.0	44.0	45.0	43.0
YDR283C	GCN2	17.0	18.0	13.0	14.0	12.0	12.0	12.0
YDR284C	DPP1	128.0	131.0	103.0	102.0	118.0	120.0	105.0
YDR285W	ZIP1	10.0	13.0	7.0	7.0	9.0	8.0	7.0
YDR286C	YDR286C	123.0	107.0	70.0	79.0	98.0	89.0	84.0
YDR287W	INM2	105.0	109.0	69.0	61.0	71.0	62.0	60.0
YDR288W	NSE3	67.0	66.0	36.0	42.0	43.0	43.0	36.0
YDR289C	RTT103	26.0	20.0	34.0	31.0	35.0	31.0	32.0
YDR291W	HRQ1	13.0	15.0	16.0	16.0	17.0	15.0	15.0
YDR292C	SRP101	99.0	107.0	83.0	81.0	79.0	73.0	78.0
YDR293C	SSD1	115.0	123.0	105.0	107.0	116.0	113.0	101.0
YDR294C	DPL1	267.0	268.0	121.0	118.0	103.0	101.0	94.0
YDR295C	HDA2	32.0	31.0	40.0	39.0	40.0	38.0	37.0
YDR296W	MHR1	123.0	105.0	135.0	153.0	223.0	230.0	239.0
YDR297W	SUR2	51.0	48.0	105.0	80.0	35.0	39.0	51.0
YDR298C	ATP5	1175.0	1077.0	1575.0	1593.0	1649.0	1645.0	1590.0
YDR299W	BFR2	16.0	14.0	33.0	40.0	28.0	35.0	45.0
YDR300C	PRO1	52.0	54.0	67.0	71.0	66.0	68.0	71.0
YDR301W	CFT1	17.0	15.0	14.0	13.0	12.0	12.0	12.0
YDR302W	GPI11	60.0	56.0	96.0	85.0	66.0	63.0	67.0
YDR303C	RSC3	25.0	24.0	33.0	29.0	25.0	23.0	20.0
YDR304C	CPR5	421.0	421.0	326.0	347.0	378.0	365.0	319.0
YDR305C	HNT2	113.0	123.0	89.0	86.0	92.0	87.0	71.0
YDR306C	YDR306C	83.0	81.0	52.0	52.0	51.0	48.0	45.0
YDR307W	PMT7	39.0	44.0	43.0	42.0	49.0	46.0	47.0
YDR308C	SRB7	143.0	112.0	118.0	116.0	154.0	150.0	154.0
YDR309C	GIC2	49.0	42.0	157.0	158.0	124.0	119.0	194.0
YDR310C	SUM1	40.0	39.0	33.0	39.0	40.0	39.0	41.0
YDR311W	TFB1	31.0	37.0	24.0	27.0	26.0	24.0	28.0
YDR312W	SSF2	50.0	42.0	53.0	55.0	64.0	63.0	64.0
YDR313C	PIB1	83.0	74.0	85.0	87.0	84.0	77.0	78.0
YDR314C	RAD34	14.0	16.0	16.0	16.0	18.0	17.0	15.0
YDR315C	IPK1	84.0	88.0	54.0	60.0	62.0	57.0	43.0
YDR316W-B	YDR316W-B	1.0	0.9	0.7	0.7	1.0	1.0	1.0
YDR316W	OMS1	58.0	49.0	75.0	80.0	131.0	127.0	128.0
YDR317W	HIM1	35.0	40.0	24.0	22.0	23.0	19.0	18.0
YDR318W	MCM21	51.0	44.0	39.0	36.0	34.0	31.0	27.0
YDR319C	YDR319C	75.0	68.0	58.0	56.0	58.0	61.0	62.0
YDR320C-A	DAD4	256.0	167.0	282.0	241.0	186.0	150.0	146.0
YDR320C	SWA2	68.0	70.0	36.0	36.0	37.0	33.0	28.0
YDR320W-B	YDR320W-B	5.0	2.0	2.0				
YDR321W	ASP1	46.0	42.0	50.0	53.0	49.0	48.0	57.0
YDR322C-A	TIM11	1109.0	828.0	1478.0	1447.0	1577.0	1635.0	1573.0
YDR322W	MRPL35	73.0	48.0	102.0	111.0	166.0	165.0	167.0
YDR323C	PEP7	23.0	23.0	24.0	21.0	22.0	21.0	19.0
YDR324C	UTP4	17.0	16.0	30.0	43.0	37.0	40.0	48.0
YDR325W	YCG1	15.0	17.0	29.0	28.0	22.0	19.0	15.0
YDR326C	YSP2	20.0	19.0	26.0	26.0	19.0	17.0	14.0
YDR327W	YDR327W	36.0	43.0	23.0	26.0	19.0	26.0	16.0
YDR328C	SKP1	243.0	270.0	175.0	182.0	205.0	180.0	168.0
YDR329C	PEX3	214.0	228.0	110.0	124.0	116.0	109.0	101.0
YDR330W	UBX5	133.0	142.0	74.0	78.0	91.0	87.0	81.0
YDR331W	GPI8	42.0	39.0	44.0	38.0	36.0	38.0	39.0
YDR332W	IRC3	29.0	30.0	19.0	20.0	21.0	20.0	16.0
YDR333C	RQC1	63.0	61.0	45.0	41.0	41.0	39.0	38.0
YDR334W	SWR1	24.0	24.0	21.0	23.0	21.0	22.0	21.0
YDR335W	MSN5	59.0	57.0	46.0	45.0	43.0	40.0	37.0
YDR336W	MRX8	37.0	35.0	24.0	27.0	23.0	27.0	22.0
YDR337W	MRPS28	95.0	66.0	92.0	103.0	147.0	152.0	177.0
YDR338C	YDR338C	23.0	22.0	21.0	20.0	20.0	23.0	22.0
YDR339C	FCF1	91.0	90.0	98.0	115.0	84.0	106.0	108.0
YDR340W	YDR340W	12.0	16.0	16.0	14.0	14.0	14.0	7.0
YDR341C	YDR341C	237.0	272.0	186.0	183.0	154.0	154.0	155.0
YDR342C	HXT7	14.0	9.0	18.0	11.0	4.0	7.0	15.0
YDR343C	HXT6	3.0	3.0	4.0	3.0	2.0	3.0	8.0
YDR344C	YDR344C	11.0	11.0	17.0	17.0	22.0	14.0	19.0
YDR345C	HXT3	23.0	20.0	24.0	19.0	15.0	15.0	15.0
YDR346C	SVF1	265.0	245.0	237.0	220.0	172.0	162.0	148.0
YDR347W	MRP1	125.0	89.0	134.0	122.0	189.0	208.0	229.0
YDR348C	PAL1	107.0	91.0	96.0	93.0	90.0	82.0	89.0
YDR349C	YPS7	107.0	115.0	83.0	80.0	80.0	86.0	68.0
YDR350C	ATP22	45.0	45.0	33.0	32.0	36.0	35.0	32.0
YDR351W	SBE2	37.0	36.0	33.0	32.0	34.0	36.0	32.0
YDR352W	YPQ2	68.0	68.0	67.0	68.0	69.0	62.0	65.0
YDR353W	TRR1	262.0	245.0	155.0	150.0	153.0	197.0	279.0
YDR354W	TRP4	223.0	267.0	233.0	204.0	162.0	170.0	157.0
YDR356W	SPC110	9.0	9.0	22.0	19.0	10.0	9.0	10.0
YDR357C	CNL1	270.0	281.0	209.0	220.0	314.0	328.0	305.0
YDR358W	GGA1	46.0	47.0	38.0	36.0	49.0	45.0	41.0
YDR359C	EAF1	17.0	19.0	22.0	24.0	28.0	29.0	26.0
YDR360W	OPI7	5.0	4.0	3.0	4.0	4.0	9.0	7.0
YDR361C	BCP1	105.0	84.0	88.0	93.0	74.0	81.0	79.0
YDR362C	TFC6	35.0	33.0	40.0	38.0	34.0	31.0	29.0
YDR363W-A	SEM1	619.0	673.0	638.0	645.0	576.0	618.0	630.0
YDR363W	ESC2	32.0	27.0	27.0	25.0	29.0	26.0	32.0
YDR364C	CDC40	37.0	34.0	31.0	33.0	30.0	33.0	30.0
YDR365C	ESF1	118.0	98.0	45.0	47.0	49.0	54.0	63.0
YDR365W-B	YDR365W-B	1.0	1.0	0.7	0.4	0.7	0.7	0.6
YDR366C	YDR366C	2.0	4.0	2.0	3.0		2.0	1.0
YDR367W	KEI1	64.0	76.0	65.0	67.0	70.0	70.0	65.0
YDR368W	YPR1	159.0	177.0	110.0	113.0	133.0	139.0	113.0
YDR369C	XRS2	18.0	19.0	14.0	13.0	16.0	15.0	12.0
YDR370C	DXO1	25.0	28.0	24.0	23.0	22.0	23.0	23.0
YDR371W	CTS2	32.0	34.0	18.0	18.0	18.0	12.0	13.0
YDR372C	VPS74	113.0	109.0	142.0	139.0	143.0	144.0	129.0
YDR373W	FRQ1	176.0	182.0	190.0	202.0	181.0	170.0	166.0
YDR374C	PHO92	32.0	29.0	10.0	8.0	4.0	4.0	2.0
YDR374W-A	WIP1	146.0	137.0	168.0	136.0	110.0	96.0	96.0
YDR375C	BCS1	55.0	49.0	49.0	53.0	77.0	81.0	81.0
YDR376W	ARH1	59.0	57.0	51.0	55.0	71.0	66.0	63.0
YDR377W	ATP17	1701.0	1582.0	1962.0	2063.0	2222.0	2177.0	2140.0
YDR378C	LSM6	234.0	234.0	228.0	213.0	198.0	200.0	195.0
YDR379C-A	SDH6	198.0	192.0	97.0	99.0	145.0	156.0	162.0
YDR379W	RGA2	34.0	31.0	18.0	18.0	29.0	25.0	28.0
YDR380W	ARO10	47.0	40.0	37.0	36.0	31.0	29.0	34.0
YDR381C-A	YDR381C-A	164.0	148.0	159.0	156.0	210.0	228.0	243.0
YDR381W	YRA1	234.0	240.0	475.0	497.0	409.0	381.0	384.0
YDR382W	RPP2B	572.0	437.0	899.0	965.0	857.0	877.0	1315.0
YDR383C	NKP1	37.0	47.0	28.0	27.0	25.0	25.0	31.0
YDR384C	ATO3	2346.0	2249.0	476.0	433.0	198.0	161.0	131.0
YDR385W	EFT2	58.0	60.0	72.0	72.0	75.0	88.0	102.0
YDR386W	MUS81	27.0	29.0	34.0	32.0	26.0	21.0	18.0
YDR387C	CIN10	38.0	43.0	31.0	36.0	36.0	35.0	33.0
YDR388W	RVS167	170.0	179.0	143.0	144.0	158.0	152.0	143.0
YDR389W	SAC7	49.0	49.0	79.0	78.0	56.0	48.0	41.0
YDR390C	UBA2	56.0	63.0	71.0	72.0	65.0	62.0	55.0
YDR391C	YDR391C	87.0	71.0	34.0	40.0	38.0	37.0	35.0
YDR392W	SPT3	81.0	83.0	53.0	59.0	63.0	60.0	55.0
YDR393W	SHE9	45.0	45.0	47.0	51.0	67.0	59.0	64.0
YDR394W	RPT3	345.0	407.0	292.0	315.0	294.0	314.0	286.0
YDR395W	SXM1	28.0	26.0	42.0	41.0	32.0	33.0	37.0
YDR396W	YDR396W	2.0	1.0	0.6	0.4	0.9	0.3	0.4
YDR397C	NCB2	4.0	7.0	2.0	2.0	5.0	2.0	4.0
YDR398W	UTP5	27.0	20.0	34.0	43.0	32.0	37.0	52.0
YDR399W	HPT1	973.0	1003.0	1144.0	1209.0	1052.0	1093.0	1133.0
YDR400W	URH1	58.0	59.0	39.0	35.0	31.0	29.0	38.0
YDR402C	DIT2	25.0	30.0	8.0	6.0	8.0	6.0	6.0
YDR403W	DIT1	63.0	64.0	14.0	16.0	16.0	12.0	14.0
YDR404C	RPB7	188.0	184.0	152.0	151.0	131.0	119.0	121.0
YDR405W	MRP20	244.0	220.0	214.0	219.0	301.0	307.0	277.0
YDR406W	PDR15	25.0	29.0	16.0	17.0	17.0	16.0	13.0
YDR407C	TRS120	24.0	24.0	20.0	20.0	21.0	18.0	19.0
YDR408C	ADE8	200.0	255.0	207.0	228.0	241.0	249.0	257.0
YDR409W	SIZ1	44.0	45.0	28.0	31.0	31.0	28.0	27.0
YDR410C	STE14	52.0	45.0	36.0	41.0	38.0	35.0	34.0
YDR411C	DFM1	146.0	130.0	101.0	99.0	101.0	86.0	82.0
YDR412W	RRP17	8.0	9.0	7.0	7.0	8.0	10.0	13.0
YDR413C	YDR413C	1.0	0.5	0.8	0.3	0.9	0.8	1.0
YDR414C	ERD1	52.0	52.0	43.0	38.0	42.0	38.0	39.0
YDR415C	YDR415C	63.0	53.0	45.0	51.0	43.0	47.0	44.0
YDR416W	SYF1	19.0	20.0	18.0	17.0	16.0	18.0	16.0
YDR417C	YDR417C	0.5				0.7	0.6	1.0
YDR418W	RPL12B	124.0	105.0	195.0	221.0	199.0	223.0	293.0
YDR419W	RAD30	29.0	33.0	27.0	30.0	35.0	32.0	29.0
YDR420W	HKR1	23.0	20.0	17.0	18.0	20.0	19.0	18.0
YDR421W	ARO80	23.0	25.0	24.0	23.0	25.0	22.0	19.0
YDR422C	SIP1	38.0	39.0	30.0	32.0	34.0	34.0	29.0
YDR423C	CAD1	51.0	50.0	40.0	40.0	51.0	44.0	45.0
YDR424C	DYN2	232.0	208.0	166.0	180.0	176.0	172.0	173.0
YDR425W	SNX41	53.0	53.0	25.0	28.0	29.0	26.0	23.0
YDR426C	YDR426C	0.5	0.6					
YDR427W	RPN9	282.0	305.0	264.0	292.0	259.0	259.0	237.0
YDR428C	BNA7	38.0	47.0	37.0	37.0	48.0	51.0	46.0
YDR429C	TIF35	234.0	204.0	180.0	190.0	198.0	214.0	235.0
YDR430C	CYM1	55.0	46.0	39.0	45.0	60.0	58.0	57.0
YDR431W	YDR431W	2.0						
YDR432W	NPL3	265.0	264.0	140.0	152.0	104.0	115.0	131.0
YDR433W	YDR433W	8.0	5.0	4.0	4.0	3.0	2.0	3.0
YDR434W	GPI17	100.0	103.0	73.0	69.0	65.0	68.0	58.0
YDR435C	PPM1	96.0	100.0	42.0	49.0	57.0	68.0	54.0
YDR436W	PPZ2	77.0	76.0	35.0	35.0	49.0	45.0	40.0
YDR437W	GPI19	23.0	26.0	20.0	19.0	19.0	20.0	18.0
YDR438W	THI74	45.0	46.0	33.0	33.0	28.0	32.0	28.0
YDR439W	LRS4	35.0	33.0	32.0	35.0	37.0	33.0	31.0
YDR440W	DOT1	30.0	26.0	29.0	27.0	23.0	23.0	25.0
YDR441C	APT2	123.0	119.0	170.0	169.0	158.0	171.0	156.0
YDR442W	YDR442W	3.0	3.0	2.0	3.0	2.0	3.0	2.0
YDR443C	SSN2	21.0	21.0	15.0	13.0	14.0	14.0	12.0
YDR444W	YDR444W	46.0	50.0	45.0	38.0	29.0	29.0	25.0
YDR446W	ECM11	2.0	0.7	3.0	1.0	1.0	0.8	0.7
YDR447C	RPS17B	337.0	251.0	593.0	586.0	553.0	580.0	830.0
YDR448W	ADA2	14.0	11.0	25.0	24.0	17.0	18.0	17.0
YDR449C	UTP6	20.0	16.0	35.0	36.0	27.0	33.0	37.0
YDR450W	RPS18A	491.0	405.0	736.0	772.0	792.0	857.0	1168.0
YDR451C	YHP1	19.0	25.0	197.0	205.0	93.0	65.0	36.0
YDR452W	PPN1	130.0	141.0	144.0	148.0	133.0	129.0	105.0
YDR453C	TSA2	241.0	208.0	34.0	36.0	27.0	32.0	24.0
YDR454C	GUK1	195.0	189.0	316.0	287.0	231.0	226.0	233.0
YDR455C	YDR455C	4.0	5.0	5.0	4.0	3.0	2.0	4.0
YDR456W	NHX1	85.0	92.0	55.0	59.0	58.0	59.0	49.0
YDR457W	TOM1	9.0	10.0	8.0	10.0	11.0	10.0	10.0
YDR458C	HEH2	63.0	67.0	50.0	51.0	54.0	55.0	52.0
YDR459C	PFA5	60.0	62.0	42.0	41.0	46.0	43.0	32.0
YDR460W	TFB3	84.0	85.0	60.0	59.0	70.0	64.0	57.0
YDR461C-A	YDR461C-A	138.0	154.0	122.0	133.0	132.0	133.0	139.0
YDR461W	MFA1	7612.0	5990.0	178.0	195.0	394.0	437.0	519.0
YDR462W	MRPL28	138.0	114.0	172.0	173.0	259.0	256.0	286.0
YDR463W	STP1	147.0	148.0	142.0	144.0	140.0	144.0	140.0
YDR464W	SPP41	22.0	20.0	27.0	25.0	20.0	18.0	16.0
YDR465C	RMT2	68.0	60.0	46.0	60.0	68.0	74.0	99.0
YDR466W	PKH3	33.0	33.0	26.0	28.0	32.0	29.0	29.0
YDR467C	YDR467C	9.0	10.0	5.0	7.0	8.0	5.0	3.0
YDR468C	TLG1	145.0	146.0	161.0	150.0	158.0	146.0	148.0
YDR469W	SDC1	92.0	86.0	120.0	105.0	101.0	83.0	82.0
YDR470C	UGO1	57.0	53.0	58.0	57.0	70.0	70.0	65.0
YDR471W	RPL27B	197.0	194.0	455.0	518.0	463.0	547.0	782.0
YDR472W	TRS31	41.0	41.0	45.0	44.0	47.0	49.0	44.0
YDR473C	PRP3	60.0	57.0	36.0	43.0	39.0	42.0	43.0
YDR475C	JIP4	40.0	46.0	37.0	32.0	43.0	41.0	39.0
YDR476C	YDR476C	187.0	193.0	129.0	138.0	155.0	143.0	118.0
YDR477W	SNF1	82.0	79.0	95.0	96.0	100.0	101.0	96.0
YDR478W	SNM1	25.0	29.0	22.0	22.0	23.0	22.0	24.0
YDR479C	PEX29	71.0	70.0	41.0	45.0	50.0	46.0	46.0
YDR480W	DIG2	53.0	59.0	64.0	49.0	36.0	36.0	36.0
YDR481C	PHO8	240.0	257.0	150.0	154.0	138.0	143.0	122.0
YDR482C	CWC21	93.0	97.0	77.0	89.0	88.0	80.0	95.0
YDR483W	KRE2	277.0	260.0	173.0	176.0	188.0	194.0	178.0
YDR484W	VPS52	26.0	26.0	24.0	26.0	28.0	29.0	27.0
YDR485C	VPS72	45.0	44.0	40.0	41.0	46.0	45.0	43.0
YDR486C	VPS60	147.0	166.0	129.0	133.0	149.0	136.0	133.0
YDR487C	RIB3	261.0	223.0	272.0	278.0	312.0	323.0	310.0
YDR488C	PAC11	13.0	13.0	28.0	25.0	16.0	17.0	17.0
YDR489W	SLD5	33.0	32.0	31.0	28.0	24.0	29.0	27.0
YDR490C	PKH1	62.0	69.0	39.0	42.0	47.0	43.0	41.0
YDR491C	YDR491C	40.0	33.0	14.0	15.0	19.0	18.0	20.0
YDR492W	IZH1	258.0	206.0	69.0	85.0	114.0	125.0	128.0
YDR493W	MZM1	106.0	87.0	90.0	98.0	180.0	175.0	197.0
YDR494W	RSM28	159.0	126.0	122.0	132.0	219.0	233.0	252.0
YDR495C	VPS3	16.0	16.0	14.0	15.0	18.0	19.0	17.0
YDR496C	PUF6	62.0	39.0	42.0	48.0	37.0	48.0	53.0
YDR497C	ITR1	856.0	740.0	475.0	479.0	408.0	475.0	601.0
YDR498C	SEC20	89.0	87.0	57.0	55.0	50.0	54.0	55.0
YDR499W	LCD1	37.0	36.0	27.0	26.0	22.0	21.0	23.0
YDR500C	RPL37B	547.0	456.0	829.0	894.0	950.0	1010.0	1388.0
